epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8485.26,0.92537,3.06314,1.18066,1.2887,0.73987,0.46944,0.5351,0.43041,0.70452,0.43085,0.45617,0.33396,1.02499,3.74422,1.48223,1.31331,0.00102337,0.00102337,0.00102337
80,8592.1,0.9211,3.12335,1.17722,1.28717,0.73957,0.46956,0.52839,0.42503,0.73394,0.43229,0.4591,0.339,1.03252,3.68473,1.44254,1.31194,0.00101512,0.00101512,0.00101512
81,8698.9,0.92246,3.14461,1.1722,1.28915,0.72918,0.49758,0.53076,0.42526,0.68886,0.46405,0.45983,0.34578,1.01803,3.69193,1.47329,1.33344,0.00100687,0.00100687,0.00100687
82,8805.77,0.9043,3.03267,1.14085,1.27396,0.67627,0.51948,0.53034,0.42715,0.64127,0.48044,0.46501,0.33251,0.99852,3.70838,1.43751,1.30116,0.000998616,0.000998616,0.000998616
83,8912.69,0.88947,3.00031,1.11489,1.26253,0.74692,0.49825,0.51403,0.42061,0.68644,0.44873,0.44445,0.32721,1.00427,3.63532,1.45972,1.31307,0.000990365,0.000990365,0.000990365
84,9019.52,0.89649,3.06357,1.13116,1.26576,0.73309,0.49021,0.51947,0.40842,0.70117,0.43991,0.4469,0.33287,1.0546,3.71122,1.4996,1.33032,0.000982113,0.000982113,0.000982113
85,9126.42,0.89392,3.04998,1.12607,1.26795,0.76638,0.46779,0.52114,0.42074,0.73268,0.43087,0.45233,0.33094,1.02785,3.66589,1.48589,1.32145,0.000973861,0.000973861,0.000973861
86,9233.52,0.89664,2.99793,1.11919,1.26102,0.7291,0.48763,0.53888,0.42796,0.62472,0.43632,0.42842,0.30539,1.03588,3.88929,1.42596,1.32743,0.00096561,0.00096561,0.00096561
87,9340.23,0.88289,2.99534,1.09708,1.25569,0.72584,0.48923,0.52983,0.42235,0.65417,0.43861,0.44125,0.32345,1.03694,3.7621,1.4515,1.32411,0.000957358,0.000957358,0.000957358
88,9447.13,0.88297,2.96079,1.10725,1.25337,0.68889,0.49781,0.52537,0.41921,0.68932,0.42261,0.43728,0.32431,1.01935,3.73528,1.49358,1.31589,0.000949106,0.000949106,0.000949106
89,9554.06,0.89367,3.0752,1.12405,1.26612,0.67265,0.51044,0.52926,0.43502,0.65262,0.46078,0.45149,0.341,1.00513,3.68861,1.445,1.31315,0.000940855,0.000940855,0.000940855
90,9660.95,0.8915,2.96901,1.09991,1.27157,0.65781,0.51745,0.52079,0.41558,0.61322,0.45569,0.43791,0.31786,1.00559,3.72216,1.49515,1.31158,0.000932603,0.000932603,0.000932603
91,9767.84,0.88498,2.91064,1.10645,1.25163,0.73929,0.46552,0.52273,0.42341,0.71684,0.43367,0.45658,0.33702,0.99327,3.75397,1.45884,1.29925,0.000924352,0.000924352,0.000924352
92,9874.7,0.89164,3.00195,1.11419,1.26082,0.74093,0.47266,0.53634,0.42336,0.685,0.41657,0.4431,0.3216,1.02886,3.77208,1.47597,1.32783,0.0009161,0.0009161,0.0009161
93,9982.15,0.86992,2.96611,1.08125,1.24878,0.66343,0.51335,0.51808,0.42475,0.59109,0.44352,0.42156,0.31457,1.00766,3.86447,1.50473,1.30986,0.000907848,0.000907848,0.000907848
94,10090.7,0.87206,2.97531,1.08918,1.24734,0.72108,0.49327,0.53904,0.43231,0.66921,0.45228,0.45846,0.32587,1.01298,3.72571,1.45202,1.29995,0.000899597,0.000899597,0.000899597
95,10200.3,0.86611,2.9331,1.06924,1.24057,0.69856,0.49815,0.53223,0.42743,0.64954,0.44962,0.45706,0.33494,1.01808,3.79899,1.46599,1.30421,0.000891345,0.000891345,0.000891345
96,10310,0.87809,3.01642,1.07913,1.24607,0.6935,0.49474,0.52609,0.42663,0.6939,0.42985,0.4475,0.33216,0.98063,3.86824,1.46052,1.28422,0.000883093,0.000883093,0.000883093
97,10420,0.86925,2.94821,1.06687,1.23425,0.74602,0.49608,0.53345,0.42718,0.69746,0.45995,0.45755,0.34661,1.01838,3.73016,1.42841,1.3232,0.000874842,0.000874842,0.000874842
98,10529.5,0.85734,2.9435,1.05778,1.23321,0.72327,0.49939,0.53325,0.42771,0.73817,0.43515,0.45963,0.34476,1.03895,3.70231,1.44642,1.33347,0.00086659,0.00086659,0.00086659
99,10638.8,0.85383,2.94038,1.06138,1.235,0.73863,0.48851,0.52771,0.43251,0.67099,0.43761,0.4395,0.32745,0.99818,3.79677,1.48674,1.30172,0.000858338,0.000858338,0.000858338
100,10747.7,0.87343,2.86755,1.071,1.24104,0.7349,0.50492,0.53421,0.43008,0.63739,0.43632,0.43159,0.32526,1.02946,3.80838,1.44511,1.31887,0.000850087,0.000850087,0.000850087
101,10855.8,0.86516,2.88936,1.05994,1.23638,0.72567,0.48013,0.52135,0.42388,0.68855,0.42722,0.43678,0.32232,1.01437,3.8523,1.49111,1.31002,0.000841835,0.000841835,0.000841835
102,10963.5,0.85557,2.95335,1.0591,1.23463,0.73533,0.4986,0.52321,0.4229,0.67305,0.44722,0.44156,0.33141,1.06401,3.70138,1.45598,1.34838,0.000833583,0.000833583,0.000833583
103,11071.6,0.85153,2.85045,1.03201,1.22865,0.74351,0.50489,0.53118,0.42777,0.69847,0.45702,0.45863,0.34444,1.01658,3.81432,1.43186,1.32456,0.000825332,0.000825332,0.000825332
104,11179.5,0.84678,2.84838,1.0271,1.22497,0.74587,0.48596,0.52498,0.42588,0.70494,0.45355,0.4637,0.3427,1.02305,3.81383,1.43834,1.3159,0.00081708,0.00081708,0.00081708
105,11288.8,0.8618,2.89094,1.05361,1.22942,0.73063,0.49149,0.52426,0.42795,0.66386,0.44196,0.44447,0.32251,1.00417,3.8139,1.45815,1.30566,0.000808828,0.000808828,0.000808828
106,11399.9,0.83596,2.84696,1.01105,1.21468,0.7478,0.46868,0.51778,0.41763,0.72057,0.43538,0.45744,0.34204,1.02541,3.84499,1.51452,1.32832,0.000800577,0.000800577,0.000800577
107,11512.4,0.85054,2.85479,1.0307,1.2287,0.75461,0.48359,0.53232,0.42897,0.72791,0.44068,0.46693,0.34358,1.01083,3.85618,1.43766,1.32162,0.000792325,0.000792325,0.000792325
108,11622.7,0.85429,2.84364,1.04349,1.23574,0.7286,0.47929,0.51317,0.41538,0.66772,0.43736,0.43763,0.32761,1.03154,3.83554,1.50761,1.33182,0.000784073,0.000784073,0.000784073
109,11731.3,0.8438,2.86854,1.0331,1.22568,0.73253,0.48833,0.5331,0.42632,0.65974,0.43575,0.44474,0.32425,1.0091,3.78616,1.44082,1.31837,0.000775822,0.000775822,0.000775822
110,11839.1,0.84163,2.90427,1.0288,1.22856,0.75217,0.48176,0.52704,0.42786,0.66776,0.42615,0.43136,0.31372,0.99633,3.8243,1.45378,1.30167,0.00076757,0.00076757,0.00076757
111,11947.2,0.83108,2.88704,1.00874,1.21924,0.70652,0.50736,0.5303,0.42963,0.6273,0.44733,0.43395,0.3158,1.01659,3.78878,1.46449,1.32479,0.000759318,0.000759318,0.000759318
112,12055,0.84259,2.78486,1.00488,1.22364,0.78604,0.47095,0.52157,0.42416,0.66218,0.40175,0.40399,0.29943,1.02683,3.82421,1.51311,1.33602,0.000751067,0.000751067,0.000751067
113,12164.5,0.84343,2.84893,1.02421,1.22422,0.70261,0.50514,0.52721,0.4255,0.66515,0.45174,0.45157,0.33753,1.00635,3.75312,1.42431,1.32626,0.000742815,0.000742815,0.000742815
114,12273.8,0.8351,2.82389,1.00272,1.21547,0.64211,0.52817,0.52547,0.42469,0.6725,0.4263,0.43744,0.32384,1.01767,3.85789,1.46457,1.32356,0.000734564,0.000734564,0.000734564
115,12382.6,0.82854,2.77753,0.99,1.21328,0.72051,0.49914,0.52908,0.42776,0.63931,0.44141,0.43161,0.32319,1.02336,3.94427,1.45753,1.33316,0.000726312,0.000726312,0.000726312
116,12491.9,0.82416,2.81352,0.9773,1.20323,0.70797,0.49088,0.52702,0.42574,0.64975,0.44965,0.44257,0.32683,1.02074,3.77969,1.45798,1.31882,0.00071806,0.00071806,0.00071806
117,12600.8,0.81751,2.76315,0.97528,1.20443,0.76129,0.47736,0.51676,0.42067,0.67549,0.42569,0.42752,0.31881,1.01703,3.8226,1.49333,1.33763,0.000709809,0.000709809,0.000709809
118,12708,0.81468,2.7807,0.97922,1.2008,0.7212,0.49465,0.52531,0.42307,0.64395,0.42649,0.41755,0.31277,1.01591,3.90711,1.46557,1.32471,0.000701557,0.000701557,0.000701557
119,12815.4,0.81778,2.76027,0.98211,1.20079,0.80088,0.47455,0.52962,0.42925,0.71555,0.42359,0.43843,0.33143,1.01103,3.93011,1.48421,1.32251,0.000693305,0.000693305,0.000693305
120,12922.9,0.81697,2.75835,0.9625,1.20618,0.74698,0.47613,0.51226,0.41671,0.65457,0.41689,0.41273,0.3035,1.03159,3.85911,1.48159,1.33662,0.000685054,0.000685054,0.000685054
121,13031.3,0.81836,2.7512,0.96226,1.20754,0.70539,0.49825,0.51846,0.42097,0.64605,0.45386,0.44163,0.33146,1.00929,3.88771,1.44392,1.31183,0.000676802,0.000676802,0.000676802
122,13139.1,0.81428,2.71767,0.95581,1.20073,0.71374,0.49947,0.53003,0.43615,0.66966,0.44507,0.45678,0.34802,0.98271,3.83056,1.44077,1.30384,0.00066855,0.00066855,0.00066855
123,13246.8,0.81844,2.7424,0.96315,1.20033,0.71554,0.49035,0.51868,0.42236,0.73233,0.4391,0.45494,0.34519,1.06058,3.95039,1.4714,1.36112,0.000660299,0.000660299,0.000660299
124,13354.9,0.80935,2.75669,0.9666,1.19902,0.74324,0.46884,0.51381,0.41862,0.69358,0.42577,0.44074,0.32611,1.02839,4.01604,1.53763,1.33394,0.000652047,0.000652047,0.000652047
125,13463.3,0.80303,2.71101,0.94009,1.18648,0.77355,0.47885,0.52892,0.43234,0.74323,0.44577,0.46445,0.35263,0.99955,3.88032,1.46209,1.30988,0.000643795,0.000643795,0.000643795
126,13575.4,0.8079,2.71942,0.96258,1.20054,0.73,0.49105,0.52949,0.42921,0.67854,0.44621,0.44981,0.33549,1.02683,3.99129,1.47587,1.34528,0.000635544,0.000635544,0.000635544
127,13685.1,0.8109,2.73435,0.9486,1.1997,0.74407,0.49509,0.52363,0.42323,0.67255,0.44605,0.44226,0.33199,1.00547,3.86655,1.50233,1.3169,0.000627292,0.000627292,0.000627292
