epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6845.55,0.82669,0.96056,1.21061,0.74296,0.50704,0.55753,0.44679,1.01287,1.40777,1.33898,0.000932603,0.000932603,0.000932603
91,6920.73,0.81704,0.94738,1.20424,0.73999,0.49316,0.54133,0.44569,0.98006,1.4192,1.29334,0.000924352,0.000924352,0.000924352
92,6995.55,0.81782,0.9672,1.20113,0.74033,0.49499,0.54117,0.44292,0.97597,1.40651,1.29326,0.0009161,0.0009161,0.0009161
93,7070.81,0.81315,0.94991,1.20404,0.74301,0.49746,0.55044,0.44468,0.99412,1.4347,1.31116,0.000907848,0.000907848,0.000907848
94,7145.79,0.80808,0.9655,1.20135,0.66988,0.52229,0.53459,0.43912,0.97763,1.46297,1.29585,0.000899597,0.000899597,0.000899597
95,7221.23,0.81694,0.94137,1.20055,0.72014,0.49657,0.54232,0.44134,1.01286,1.39953,1.30776,0.000891345,0.000891345,0.000891345
96,7297.13,0.80933,0.93375,1.1912,0.72023,0.48122,0.53783,0.44112,0.97481,1.45951,1.29242,0.000883093,0.000883093,0.000883093
97,7372.89,0.80028,0.92949,1.1828,0.73969,0.50721,0.55476,0.4551,0.97128,1.3894,1.29206,0.000874842,0.000874842,0.000874842
98,7448.83,0.81185,0.93048,1.19464,0.76282,0.48501,0.54243,0.44048,1.00256,1.45172,1.30725,0.00086659,0.00086659,0.00086659
99,7524.54,0.78423,0.89671,1.17254,0.7402,0.50106,0.54922,0.44558,1.00332,1.41958,1.30699,0.000858338,0.000858338,0.000858338
100,7599.97,0.79911,0.92299,1.18535,0.77776,0.48956,0.54886,0.44515,0.99484,1.41937,1.29284,0.000850087,0.000850087,0.000850087
101,7675.73,0.80209,0.91923,1.18776,0.74127,0.5162,0.55239,0.45031,0.97943,1.40606,1.3075,0.000841835,0.000841835,0.000841835
102,7751.31,0.77815,0.8996,1.17556,0.76024,0.49939,0.55003,0.44249,1.0017,1.40987,1.32328,0.000833583,0.000833583,0.000833583
103,7826.68,0.79721,0.89175,1.18133,0.74077,0.50738,0.52862,0.43229,0.98942,1.42571,1.29649,0.000825332,0.000825332,0.000825332
104,7901.52,0.77359,0.89733,1.16724,0.75654,0.48773,0.53725,0.43424,1.03665,1.45579,1.34282,0.00081708,0.00081708,0.00081708
105,7976.22,0.78666,0.87915,1.16757,0.72341,0.51402,0.53715,0.43366,1.01737,1.49727,1.31903,0.000808828,0.000808828,0.000808828
106,8051.28,0.7827,0.87784,1.17633,0.71401,0.50383,0.53403,0.43678,0.99628,1.44247,1.31134,0.000800577,0.000800577,0.000800577
107,8127.24,0.7823,0.87071,1.17585,0.78403,0.46981,0.54312,0.4412,1.02559,1.47364,1.32591,0.000792325,0.000792325,0.000792325
108,8203.19,0.77907,0.88703,1.17557,0.70524,0.49509,0.54075,0.44131,0.98991,1.44798,1.30147,0.000784073,0.000784073,0.000784073
109,8278.69,0.76824,0.86379,1.16745,0.73403,0.4739,0.52834,0.4301,1.02341,1.52748,1.32342,0.000775822,0.000775822,0.000775822
